Input	Input Type	MGI Gene/Marker ID	Symbol	Name	Feature Type
MGI:1100520	MGI	MGI:1100520	Twf1	twinfilin actin binding protein 1	protein coding gene
MGI:1346078	MGI	MGI:1346078	Twf2	twinfilin actin binding protein 2	protein coding gene
MGI:87859	MGI	MGI:87859	Abl1	c-abl oncogene 1, non-receptor tyrosine kinase	protein coding gene
MGI:1858308	MGI	MGI:1858308	Tnk2	tyrosine kinase, non-receptor, 2	protein coding gene
MGI:102806	MGI	MGI:102806	Acvr2a	activin receptor IIA	protein coding gene
MGI:87912	MGI	MGI:87912	Acvr2b	activin receptor IIB	protein coding gene
MGI:1919363	MGI	MGI:1919363	Adck1	aarF domain containing kinase 1	protein coding gene
MGI:2141722	MGI	MGI:1889336	Adck2	aarF domain containing kinase 2	protein coding gene
MGI:1914676	MGI	MGI:1914676	Coq8a	coenzyme Q8A	protein coding gene
MGI:1924139	MGI	MGI:1924139	Coq8b	coenzyme Q8B	protein coding gene
MGI:87986	MGI	MGI:87986	Akt1	thymoma viral proto-oncogene 1	protein coding gene
MGI:104874	MGI	MGI:104874	Akt2	thymoma viral proto-oncogene 2	protein coding gene
MGI:1345147	MGI	MGI:1345147	Akt3	thymoma viral proto-oncogene 3	protein coding gene
MGI:103305	MGI	MGI:103305	Alk	anaplastic lymphoma kinase	protein coding gene
MGI:2145999	MGI	MGI:1338946	Acvrl1	activin A receptor, type II-like 1	protein coding gene
MGI:2445032	MGI	MGI:87911	Acvr1	activin A receptor, type 1	protein coding gene
MGI:1338944	MGI	MGI:1338944	Acvr1b	activin A receptor, type 1B	protein coding gene
MGI:2151224	MGI	MGI:2151224	Alpk3	alpha-kinase 3	protein coding gene
MGI:2449492	MGI	MGI:2449492	Alpk2	alpha-kinase 2	protein coding gene
MGI:1918731	MGI	MGI:1918731	Alpk1	alpha-kinase 1	protein coding gene
MGI:2145955	MGI	MGI:2145955	Prkaa1	protein kinase, AMP-activated, alpha 1 catalytic subunit	protein coding gene
MGI:1336173	MGI	MGI:1336173	Prkaa2	protein kinase, AMP-activated, alpha 2 catalytic subunit	protein coding gene
MGI:1919638	MGI	MGI:1919638	Ripk4	receptor-interacting serine-threonine kinase 4	protein coding gene
MGI:97371	MGI	MGI:97371	Npr1	natriuretic peptide receptor 1	protein coding gene
MGI:88065	MGI	MGI:88065	Araf	Araf proto-oncogene, serine/threonine kinase	protein coding gene
MGI:87860	MGI	MGI:87860	Abl2	v-abl Abelson murine leukemia viral oncogene 2 (arg, Abelson-related gene)	protein coding gene
MGI:107202	MGI	MGI:107202	Atm	ataxia telangiectasia mutated	protein coding gene
MGI:108028	MGI	MGI:108028	Atr	ataxia telangiectasia and Rad3 related	protein coding gene
MGI:894678	MGI	MGI:894678	Aurka	aurora kinase A	protein coding gene
MGI:107168	MGI	MGI:107168	Aurkb	aurora kinase B	protein coding gene
MGI:1347244	MGI	MGI:1347244	Axl	AXL receptor tyrosine kinase	protein coding gene
MGI:87940	MGI	MGI:87940	Grk2	G protein-coupled receptor kinase 2	protein coding gene
MGI:2443434	MGI	MGI:87941	Grk3	G protein-coupled receptor kinase 3	protein coding gene
MGI:1276121	MGI	MGI:1276121	Bckdk	branched chain ketoacid dehydrogenase kinase	protein coding gene
MGI:1918508	MGI	MGI:88141	Bcr	breakpoint cluster region	protein coding gene
MGI:2155456	MGI	MGI:2155456	Bmp2k	BMP2 inducible kinase	protein coding gene
MGI:88169	MGI	MGI:88169	Blk	B lymphoid kinase	protein coding gene
MGI:1338938	MGI	MGI:1338938	Bmpr1a	bone morphogenetic protein receptor, type 1A	protein coding gene
MGI:107191	MGI	MGI:107191	Bmpr1b	bone morphogenetic protein receptor, type 1B	protein coding gene
MGI:1095407	MGI	MGI:1095407	Bmpr2	bone morphogenetic protein receptor, type II (serine/threonine kinase)	protein coding gene
MGI:1101778	MGI	MGI:1101778	Bmx	BMX non-receptor tyrosine kinase	protein coding gene
MGI:88190	MGI	MGI:88190	Braf	Braf transforming gene	protein coding gene
MGI:99495	MGI	MGI:99495	Brd2	bromodomain containing 2	protein coding gene
MGI:1914632	MGI	MGI:1914632	Brd3	bromodomain containing 3	protein coding gene
MGI:1337084	MGI	MGI:1888520	Brd4	bromodomain containing 4	protein coding gene
MGI:1891374	MGI	MGI:1891374	Brdt	bromodomain, testis-specific	protein coding gene
MGI:99683	MGI	MGI:99683	Ptk6	PTK6 protein tyrosine kinase 6	protein coding gene
MGI:88216	MGI	MGI:88216	Btk	Bruton agammaglobulinemia tyrosine kinase	protein coding gene
MGI:1100510	MGI	MGI:1100510	Bub1	BUB1, mitotic checkpoint serine/threonine kinase	protein coding gene
MGI:1333889	MGI	MGI:1333889	Bub1b	BUB1B, mitotic checkpoint serine/threonine kinase	protein coding gene
MGI:1097693	MGI	MGI:1097693	Ogg1	8-oxoguanine DNA-glycosylase 1	protein coding gene
MGI:1347357	MGI	MGI:1347357	Pnck	pregnancy upregulated non-ubiquitously expressed CaM kinase	protein coding gene
MGI:2442190	MGI	MGI:2442190	Camk1d	calcium/calmodulin-dependent protein kinase ID	protein coding gene
MGI:2388073	MGI	MGI:2388073	Camk1g	calcium/calmodulin-dependent protein kinase I gamma	protein coding gene
MGI:88256	MGI	MGI:88256	Camk2a	calcium/calmodulin-dependent protein kinase II alpha	protein coding gene
MGI:88257	MGI	MGI:88257	Camk2b	calcium/calmodulin-dependent protein kinase II, beta	protein coding gene
MGI:1341265	MGI	MGI:1341265	Camk2d	calcium/calmodulin-dependent protein kinase II, delta	protein coding gene
MGI:88259	MGI	MGI:88259	Camk2g	calcium/calmodulin-dependent protein kinase II gamma	protein coding gene
MGI:88258	MGI	MGI:88258	Camk4	calcium/calmodulin-dependent protein kinase IV	protein coding gene
MGI:1891766	MGI	MGI:1891766	Camkk1	calcium/calmodulin-dependent protein kinase kinase 1, alpha	protein coding gene
MGI:2444812	MGI	MGI:2444812	Camkk2	calcium/calmodulin-dependent protein kinase kinase 2, beta	protein coding gene
MGI:2443063	MGI	MGI:2443063	Mylk3	myosin light chain kinase 3	protein coding gene
MGI:1309489	MGI	MGI:1309489	Cask	calcium/calmodulin-dependent serine protein kinase (MAGUK family)	protein coding gene
MGI:1918711	MGI	MGI:1918711	Ptk7	PTK7 protein tyrosine kinase 7	protein coding gene
MGI:2145349	MGI	MGI:2145349	Cdk20	cyclin-dependent kinase 20	protein coding gene
MGI:88351	MGI	MGI:88351	Cdk1	cyclin-dependent kinase 1	protein coding gene
MGI:1309511	MGI	MGI:1309511	Cdc7	cell division cycle 7 (S. cerevisiae)	protein coding gene
MGI:2448549	MGI	MGI:2448549	Cdk10	cyclin-dependent kinase 10	protein coding gene
MGI:1914837	MGI	MGI:1914837	Cdk19os	cyclin-dependent kinase 19, opposite strand	antisense lncRNA gene
MGI:104772	MGI	MGI:104772	Cdk2	cyclin-dependent kinase 2	protein coding gene
MGI:88357	MGI	MGI:88357	Cdk4	cyclin-dependent kinase 4	protein coding gene
MGI:101765	MGI	MGI:101765	Cdk5	cyclin-dependent kinase 5	protein coding gene
MGI:1277162	MGI	MGI:1277162	Cdk6	cyclin-dependent kinase 6	protein coding gene
MGI:102956	MGI	MGI:102956	Cdk7	cyclin-dependent kinase 7	protein coding gene
MGI:1196224	MGI	MGI:1196224	Cdk8	cyclin-dependent kinase 8	protein coding gene
MGI:1328368	MGI	MGI:1328368	Cdk9	cyclin-dependent kinase 9 (CDC2-related kinase)	protein coding gene
MGI:1918341	MGI	MGI:1918341	Cdkl1	cyclin-dependent kinase-like 1 (CDC2-related kinase)	protein coding gene
MGI:1858227	MGI	MGI:1858227	Cdkl2	cyclin-dependent kinase-like 2 (CDC2-related kinase)	protein coding gene
MGI:2388268	MGI	MGI:2388268	Cdkl3	cyclin-dependent kinase-like 3	protein coding gene
MGI:2147007	MGI	MGI:3587025	Cdkl4	cyclin-dependent kinase-like 4	protein coding gene
MGI:2448589	MGI	MGI:1278336	Cdkl5	cyclin-dependent kinase-like 5	protein coding gene
MGI:1929996	MGI	MGI:1929996	Trpm7	transient receptor potential cation channel, subfamily M, member 7	protein coding gene
MGI:1916812	MGI	MGI:1916812	Cdk13	cyclin-dependent kinase 13	protein coding gene
MGI:1202065	MGI	MGI:1202065	Chek1	checkpoint kinase 1	protein coding gene
MGI:1355321	MGI	MGI:1355321	Chek2	checkpoint kinase 2	protein coding gene
MGI:1934950	MGI	MGI:1934950	Csnk1a1	casein kinase 1, alpha 1	protein coding gene
MGI:1355272	MGI	MGI:1355272	Csnk1d	casein kinase 1, delta	protein coding gene
MGI:1351660	MGI	MGI:1351660	Csnk1e	casein kinase 1, epsilon	protein coding gene
MGI:2143622	MGI	MGI:1920014	Csnk1g2	casein kinase 1, gamma 2	protein coding gene
MGI:1917675	MGI	MGI:1917675	Csnk1g3	casein kinase 1, gamma 3	protein coding gene
MGI:88543	MGI	MGI:88543	Csnk2a1	casein kinase 2, alpha 1 polypeptide	protein coding gene
MGI:894650	MGI	MGI:88543	Csnk2a1	casein kinase 2, alpha 1 polypeptide	protein coding gene
MGI:88547	MGI	MGI:88547	Csnk2a2	casein kinase 2, alpha prime polypeptide	protein coding gene
MGI:1914583	MGI	MGI:1914583	Stk35	serine/threonine kinase 35	protein coding gene
MGI:107403	MGI	MGI:107403	Clk1	CDC-like kinase 1	protein coding gene
MGI:1098669	MGI	MGI:1098669	Clk2	CDC-like kinase 2	protein coding gene
MGI:1098551	MGI	MGI:1098551	Clk4	CDC like kinase 4	protein coding gene
MGI:1346878	MGI	MGI:1346878	Map3k8	mitogen-activated protein kinase kinase kinase 8	protein coding gene
MGI:105313	MGI	MGI:105313	Cit	citron	protein coding gene
MGI:1289232	MGI	MGI:1098802	Cdk12	cyclin-dependent kinase 12	protein coding gene
MGI:88537	MGI	MGI:88537	Csk	c-src tyrosine kinase	protein coding gene
MGI:99259	MGI	MGI:99259	Matk	megakaryocyte-associated tyrosine kinase	protein coding gene
MGI:105123	MGI	MGI:105123	Gucy2e	guanylate cyclase 2e	protein coding gene
MGI:106030	MGI	MGI:106030	Gucy2d	guanylate cyclase 2d	protein coding gene
MGI:1916885	MGI	MGI:1916885	Dapk1	death associated protein kinase 1	protein coding gene
MGI:1341297	MGI	MGI:1341297	Dapk2	death-associated protein kinase 2	protein coding gene
MGI:1203520	MGI	MGI:1203520	Dapk3	death-associated protein kinase 3	protein coding gene
MGI:1330861	MGI	MGI:1330861	Dclk1	doublecortin-like kinase 1	protein coding gene
MGI:1918012	MGI	MGI:1918012	Dclk2	doublecortin-like kinase 2	protein coding gene
MGI:99216	MGI	MGI:99216	Ddr1	discoidin domain receptor family, member 1	protein coding gene
MGI:1345277	MGI	MGI:1345277	Ddr2	discoidin domain receptor family, member 2	protein coding gene
MGI:1346881	MGI	MGI:1346881	Map3k12	mitogen-activated protein kinase kinase kinase 12	protein coding gene
MGI:94906	MGI	MGI:94906	Dmpk	dystrophia myotonica-protein kinase	protein coding gene
MGI:104779	MGI	MGI:104779	Prkdc	protein kinase, DNA activated, catalytic polypeptide	protein coding gene
MGI:2138162	MGI	MGI:2138162	Stk17b	serine/threonine kinase 17b (apoptosis-inducing)	protein coding gene
MGI:1330299	MGI	MGI:1330299	Dyrk1a	dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 1a	protein coding gene
MGI:1330302	MGI	MGI:1330302	Dyrk1b	dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 1b	protein coding gene
MGI:1921665	MGI	MGI:1921665	4932442E05Rik	RIKEN cDNA 4932442E05 gene	protein coding gene
MGI:2141638	MGI	MGI:1330292	Dyrk4	dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 4	protein coding gene
MGI:1195261	MGI	MGI:1195261	Eef2k	eukaryotic elongation factor-2 kinase	protein coding gene
MGI:95294	MGI	MGI:95294	Egfr	epidermal growth factor receptor	protein coding gene
MGI:107381	MGI	MGI:107381	Epha1	Eph receptor A1	protein coding gene
MGI:95278	MGI	MGI:95278	Epha2	Eph receptor A2	protein coding gene
MGI:1341865	MGI	MGI:1341865	Mark3	MAP/microtubule affinity regulating kinase 3	protein coding gene
MGI:98277	MGI	MGI:98277	Epha4	Eph receptor A4	protein coding gene
MGI:99654	MGI	MGI:99654	Epha5	Eph receptor A5	protein coding gene
MGI:108034	MGI	MGI:108034	Epha6	Eph receptor A6	protein coding gene
MGI:95276	MGI	MGI:95276	Epha7	Eph receptor A7	protein coding gene
MGI:109378	MGI	MGI:109378	Epha8	Eph receptor A8	protein coding gene
MGI:1096337	MGI	MGI:1096337	Ephb1	Eph receptor B1	protein coding gene
MGI:99611	MGI	MGI:99611	Ephb2	Eph receptor B2	protein coding gene
