hgnc_id,symbol,ensembl_gene_id,class,name,uniprot_ids,entrez_id,kinase_com_name
HGNC:19679,AAK1,ENSG00000115977,Light,AP2 associated kinase 1,Q2M2I8,22848,AAK1
HGNC:21,AATK,ENSG00000181409,Light,apoptosis associated tyrosine kinase,Q6ZMQ8,9625,LMR1
HGNC:76,ABL1,ENSG00000097007,Light,"ABL proto-oncogene 1, non-receptor tyrosine kinase",P00519,25,ABL1
HGNC:77,ABL2,ENSG00000143322,Light,"ABL proto-oncogene 2, non-receptor tyrosine kinase",P42684,27,ABL2
HGNC:81,ABR,ENSG00000159842,Light,"ABR, RhoGEF and GTPase activating protein",Q12979,29,NA
HGNC:171,ACVR1,ENSG00000115170,Light,activin A receptor type 1,Q04771,90,ALK2
HGNC:172,ACVR1B,ENSG00000135503,Light,activin A receptor type 1B,P36896,91,ALK4
HGNC:18123,ACVR1C,ENSG00000123612,Light,activin A receptor type 1C,Q8NER5,130399,ALK7
HGNC:173,ACVR2A,ENSG00000121989,Light,activin A receptor type 2A,P27037,92,ACTR2
HGNC:174,ACVR2B,ENSG00000114739,Light,activin A receptor type 2B,Q13705,93,ACTR2B
HGNC:175,ACVRL1,ENSG00000139567,Light,activin A receptor like type 1,P37023,94,ALK1
HGNC:19038,ADCK1,ENSG00000063761,Dark,aarF domain containing kinase 1,Q86TW2,57143,ADCK1
HGNC:19039,ADCK2,ENSG00000133597,Dark,aarF domain containing kinase 2,Q7Z695,90956,ADCK2
HGNC:21738,ADCK5,ENSG00000173137,Dark,aarF domain containing kinase 5,Q3MIX3,203054,ADCK5
HGNC:25250,ADPGK,ENSG00000159322,Light,ADP dependent glucokinase,Q9BRR6,83440,NA
HGNC:391,AKT1,ENSG00000142208,Light,AKT serine/threonine kinase 1,P31749,207,AKT1
HGNC:392,AKT2,ENSG00000105221,Light,AKT serine/threonine kinase 2,P31751,208,AKT2
HGNC:393,AKT3,ENSG00000117020,Light,AKT serine/threonine kinase 3,Q9Y243,10000,AKT3
HGNC:427,ALK,ENSG00000171094,Light,ALK receptor tyrosine kinase,Q9UM73,238,ALK
HGNC:20917,ALPK1,ENSG00000073331,Light,alpha kinase 1,Q96QP1,80216,AlphaK3
HGNC:20565,ALPK2,ENSG00000198796,Dark,alpha kinase 2,Q86TB3,115701,AlphaK2
HGNC:17574,ALPK3,ENSG00000136383,Dark,alpha kinase 3,Q96L96,57538,AlphaK1
HGNC:465,AMHR2,ENSG00000135409,Light,anti-Mullerian hormone receptor type 2,Q16671,269,MISR2
HGNC:21027,ANKK1,ENSG00000170209,Light,ankyrin repeat and kinase domain containing 1,Q8NFD2,255239,SgK288
HGNC:646,ARAF,ENSG00000078061,Light,"A-Raf proto-oncogene, serine/threonine kinase",P10398,369,ARAF
HGNC:795,ATM,ENSG00000149311,Light,ATM serine/threonine kinase,Q13315,472,ATM
HGNC:882,ATR,ENSG00000175054,Light,ATR serine/threonine kinase,Q13535,545,ATR
HGNC:11393,AURKA,ENSG00000087586,Light,aurora kinase A,O14965,6790,AurA
HGNC:11390,AURKB,ENSG00000178999,Light,aurora kinase B,Q96GD4,9212,AurB
HGNC:11391,AURKC,ENSG00000105146,Light,aurora kinase C,Q9UQB9,6795,AurC
HGNC:905,AXL,ENSG00000167601,Light,AXL receptor tyrosine kinase,P30530,558,AXL
HGNC:960,BAZ1A,ENSG00000198604,Light,bromodomain adjacent to zinc finger domain 1A,Q9NRL2,11177,NA
HGNC:961,BAZ1B,ENSG00000009954,Light,bromodomain adjacent to zinc finger domain 1B,Q9UIG0,9031,NA
HGNC:16902,BCKDK,ENSG00000103507,Dark,branched chain ketoacid dehydrogenase kinase,O14874,10295,BCKDK
HGNC:1014,BCR,ENSG00000186716,Light,"BCR, RhoGEF and GTPase activating protein",P11274,613,BCR
HGNC:1057,BLK,ENSG00000136573,Light,"BLK proto-oncogene, Src family tyrosine kinase",P51451,640,BLK
HGNC:1062,BLVRA,ENSG00000106605,Light,biliverdin reductase A,P53004,644,NA
HGNC:18041,BMP2K,ENSG00000138756,Light,BMP2 inducible kinase,Q9NSY1,55589,BIKE
HGNC:1076,BMPR1A,ENSG00000107779,Light,bone morphogenetic protein receptor type 1A,P36894,657,BMPR1A
HGNC:1077,BMPR1B,ENSG00000138696,Light,bone morphogenetic protein receptor type 1B,O00238,658,BMPR1B
HGNC:1078,BMPR2,ENSG00000204217,Light,bone morphogenetic protein receptor type 2,Q13873,659,BMPR2
HGNC:1079,BMX,ENSG00000102010,Light,BMX non-receptor tyrosine kinase,P51813,660,BMX
HGNC:1097,BRAF,ENSG00000157764,Light,"B-Raf proto-oncogene, serine/threonine kinase",P15056,673,BRAF
HGNC:1103,BRD2,ENSG00000204256,Light,bromodomain containing 2,P25440,6046,BRD2
HGNC:1104,BRD3,ENSG00000169925,Light,bromodomain containing 3,Q15059,8019,BRD3
HGNC:13575,BRD4,ENSG00000141867,Light,bromodomain containing 4,O60885,23476,BRD4
HGNC:1105,BRDT,ENSG00000137948,Light,bromodomain testis associated,Q58F21,676,BRDT
HGNC:18994,BRSK1,ENSG00000160469,Dark,BR serine/threonine kinase 1,Q8TDC3,84446,BRSK1
HGNC:11405,BRSK2,ENSG00000174672,Dark,BR serine/threonine kinase 2,Q8IWQ3,9024,BRSK2
HGNC:1133,BTK,ENSG00000010671,Light,Bruton tyrosine kinase,Q06187,695,BTK
HGNC:1148,BUB1,ENSG00000169679,Light,BUB1 mitotic checkpoint serine/threonine kinase,O43683,699,BUB1
HGNC:1149,BUB1B,ENSG00000156970,Light,BUB1 mitotic checkpoint serine/threonine kinase B,O60566,701,BUBR1
HGNC:52276,BUB1B-PAK6,ENSG00000259288,Light,BUB1B-PAK6 readthrough,,106821730,NA
HGNC:48354,C8orf44-SGK3,ENSG00000270024,Light,C8orf44-SGK3 readthrough,,100533105,NA
HGNC:1459,CAMK1,ENSG00000134072,Light,calcium/calmodulin dependent protein kinase I,Q14012,8536,CaMK1a
HGNC:19341,CAMK1D,ENSG00000183049,Dark,calcium/calmodulin dependent protein kinase ID,Q8IU85,57118,CaMK1d
HGNC:14585,CAMK1G,ENSG00000008118,Dark,calcium/calmodulin dependent protein kinase IG,Q96NX5,57172,CaMK1g
HGNC:1460,CAMK2A,ENSG00000070808,Light,calcium/calmodulin dependent protein kinase II alpha,Q9UQM7,815,CaMK2a
HGNC:1461,CAMK2B,ENSG00000058404,Light,calcium/calmodulin dependent protein kinase II beta,Q13554,816,CaMK2b
HGNC:1462,CAMK2D,ENSG00000145349,Light,calcium/calmodulin dependent protein kinase II delta,Q13557,817,CaMK2d
HGNC:1463,CAMK2G,ENSG00000148660,Light,calcium/calmodulin dependent protein kinase II gamma,Q13555,818,CaMK2g
HGNC:1464,CAMK4,ENSG00000152495,Light,calcium/calmodulin dependent protein kinase IV,Q16566,814,CaMK4
HGNC:1469,CAMKK1,ENSG00000004660,Dark,calcium/calmodulin dependent protein kinase kinase 1,Q8N5S9,84254,CaMKK1
HGNC:1470,CAMKK2,ENSG00000110931,Dark,calcium/calmodulin dependent protein kinase kinase 2,Q96RR4,10645,CaMKK2
HGNC:28788,CAMKV,ENSG00000164076,Dark,CaM kinase like vesicle associated,Q8NCB2,79012,VACAMKL
HGNC:1497,CASK,ENSG00000147044,Light,calcium/calmodulin dependent serine protein kinase,O14936,8573,CASK
HGNC:1745,CDC7,ENSG00000097046,Light,cell division cycle 7,O00311,8317,CDC7
HGNC:1737,CDC42BPA,ENSG00000143776,Dark,CDC42 binding protein kinase alpha,Q5VT25,8476,MRCKa
HGNC:1738,CDC42BPB,ENSG00000198752,Dark,CDC42 binding protein kinase beta,Q9Y5S2,9578,MRCKb
HGNC:29829,CDC42BPG,ENSG00000171219,Dark,CDC42 binding protein kinase gamma,Q6DT37,55561,DMPK2
HGNC:1722,CDK1,ENSG00000170312,Light,cyclin dependent kinase 1,P06493,983,CDC2
HGNC:1771,CDK2,ENSG00000123374,Light,cyclin dependent kinase 2,P24941,1017,CDK2
HGNC:1772,CDK3,ENSG00000250506,Light,cyclin dependent kinase 3,Q00526,1018,CDK3
HGNC:1773,CDK4,ENSG00000135446,Light,cyclin dependent kinase 4,P11802,1019,CDK4
HGNC:1774,CDK5,ENSG00000164885,Light,cyclin dependent kinase 5,Q00535,1020,CDK5
HGNC:1777,CDK6,ENSG00000105810,Light,cyclin dependent kinase 6,Q00534,1021,CDK6
HGNC:1778,CDK7,ENSG00000134058,Light,cyclin dependent kinase 7,P50613,1022,CDK7
HGNC:1779,CDK8,ENSG00000132964,Light,cyclin dependent kinase 8,P49336,1024,CDK8
HGNC:1780,CDK9,ENSG00000136807,Light,cyclin dependent kinase 9,P50750,1025,CDK9
HGNC:1770,CDK10,ENSG00000185324,Dark,cyclin dependent kinase 10,Q15131,8558,CDK10
HGNC:1730,CDK11A,ENSG00000008128,Dark,cyclin dependent kinase 11A,Q9UQ88,728642,PITSLRE
HGNC:1729,CDK11B,ENSG00000248333,Dark,cyclin dependent kinase 11B,P21127,984,NA
HGNC:24224,CDK12,ENSG00000167258,Dark,cyclin dependent kinase 12,Q9NYV4,51755,CRK7
HGNC:1733,CDK13,ENSG00000065883,Dark,cyclin dependent kinase 13,Q14004,8621,CHED
HGNC:8883,CDK14,ENSG00000058091,Dark,cyclin dependent kinase 14,O94921,5218,PFTAIRE1
HGNC:14434,CDK15,ENSG00000138395,Dark,cyclin dependent kinase 15,Q96Q40,65061,PFTAIRE2
HGNC:8749,CDK16,ENSG00000102225,Dark,cyclin dependent kinase 16,Q00536,5127,PCTAIRE1
HGNC:8750,CDK17,ENSG00000059758,Dark,cyclin dependent kinase 17,Q00537,5128,PCTAIRE2
HGNC:8751,CDK18,ENSG00000117266,Dark,cyclin dependent kinase 18,Q07002,5129,PCTAIRE3
